title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:でんぱ【電波】	type:［語釈］	date:2012年12月19日	citation:『（略）世界を救うため戦いましょう』とかいう、電波なシチュエーションと大差ないからね	book:I wish/単行本/2002年/斎木涼/13ページ/文芸社	explanation:精神に異常をきたした人の考えるようなこと。	comment:コメント：「電波女」のような場合と分けました。	reply:第２版では、この意味に触れていません。
title:でんぱけい【電波系】	type:［語釈］	date:2012年12月19日	citation:鹿島 （略） 神から「平和を守れ」と命じられたから、勝手に使命感を持ってしまう。福田 ほとんど“電波系”の人ですよね。	book:読んだ、飲んだ、論じた―鼎談書評二十三夜/単行本/2005年/鹿島 茂,福田 和也,松原 隆一郎/322ページ/飛鳥新社	explanation:（電波などによる指令を受信しているという）妄想に動かされること、またそのような人。	comment:コメント：「電波系」という根本敬の書籍があるようです。	reply:第２版では、この意味に触れていません。
title:かいごろす【飼殺】	type:［新項目］	date:2013年02月08日	citation:なんとかいいながら長い目で会社を眺めざるをえず、入社のときから、不承不承「飼い殺」されているわけである。	book:にっぽん的経営―ハンコ・ソロバン・会議好き /単行本/1965年/神吉 貞一/125/ダイヤモンド社	explanation:〔他サ五（四）〕その人の力を発揮できるような仕事をさせずに雇っておく。	comment:コメント：「飼い殺し」の動詞化です。飼い殺し(1) 「家畜、雇い人、老人などを、役にたたなくなっても死ぬまで養うこと。」の意味で使われるかどうかは不明です。	reply:第２版では、この語形では立項されませんでした。
title:かけあつまる【駆集】	type:［新項目］	date:2013年02月08日	citation:近辺の人々は何事ならんと四方より駆け集まりたるに	book:新・國史大年表 第六巻/単行本/2006年/日置英剛/534/国書刊行会	explanation:〔自ラ五（四）〕駆けてきて集まる。	comment:コメント：「馳せ集まる」があるため投稿します。いつもながら Google Books からです。ページ数など不正確であれば申し訳ありません。	reply:第２版では、立項されませんでした。
title:オナる	type:［新項目］	date:2013年02月04日	citation:否、隣で背を向けてオナっている姉の方だった。	book:女、ベスト18ホール/単行本/2002年/黒沢 敏/200/文芸社	explanation:〔自ラ五〕オナニーをする。自慰行為をする。	comment:コメント：もっと古い言葉だと思いますが、とりあえず。	reply:第２版では、立項されませんでした。
title:かさだかい【嵩高】	type:［新項目］	date:2013年02月09日	citation:今日の如き鐵道のなかつた時代に、そして米の如き嵩高き重き貨物の動きが今日に劣らず旺盛であつた時代に、その大量運輸の機關は船より他にはなかつたといつても過言ではない。	book:加能漂流譚/単行本/1938年/石川県図書館協会/69/石川県図書館協会	explanation:〔形口〕分量、容積、数などが大きい。	comment:コメント：「かさだか」の形容詞です。	reply:第２版では、立項されませんでした。
title:かたりおろす【語下】	type:［新項目］	date:2013年02月09日	citation:毎回、日替わりのコラムニストが登場し、二十分枠をひとつのテーマで語り下ろす趣向であった。	book:キッドのもと/単行本/2010年/浅草キッド/202/学研パブリッシング	explanation:〔他サ五（四）〕その場で新しく語る。また、それを筆記して作品にする。	comment:コメント：「筆記したものを作品にする」という使い方が多いと思いますが、この用例では「新しく語る」だけの意味です。	reply:第２版では、立項されませんでした。
title:かっぱぎ【掻剥】	type:［新項目］	date:2013年02月01日	citation:おぬしも、拙者とともに天下のかっぱぎにならぬか	book:別册 文藝春秋(247)/雑誌/2003年8月7日/浅田次郎/101/文藝春秋社	explanation:〔名〕無理矢理奪い取ること。また、その人。追いはぎ。	comment:コメント：「かっぱぐ」の名詞です。ここでは比喩的に「金をかき集める人」のように使われているようですが、前後を見ると、本来の意味としては「追いはぎ」が想定されているようです。	reply:第２版では、立項されませんでした。
title:かっとぶ【─飛】	type:［新項目］	date:2013年02月01日	citation:普通の直線でもハング・オンのまま、今週もまた、かっ飛んでやってまいりました！	book:メイン・テーマ/単行本/1984年/片岡義男/（現代日本語書き言葉均衡コーパス）/角川書店	explanation:〔自バ五〕激しい勢いで飛ぶ。また、車などが速く走る。	comment:コメント：「かっとばす」の自動詞です。個人的にも使います。	reply:第２版では、立項されませんでした。
title:ぶんむくれる【打剥】	type:［新項目］	date:2013年02月01日	citation:大豊に至っては超感情型人間の彼がぶんむくれては、阪神のそれでなくても、まとめづらいチームがさらに雰囲気が悪くなって、いかんともしがたい。	book:くそったれ阪神!なんとかせんかい!: 一喜一憂、トラキチEメール放談/単行本/2002年/岩淵信太郎・細谷和史 /112/文芸社	explanation:〔自ラ下一〕（「ぶん」は接頭語）思いきりむっとした顔をする。あからさまにむくれる。	comment:コメント：むくれる【剥】(2) の強調。よく使います。	reply:第２版では、立項されませんでした。
title:ぶっかかる【掛】	type:［新項目］	date:2013年02月01日	citation:他の者はみんな義仲を目あてにぶつかかつてゐるにすぎなぬので、實に義仲の獨舞臺といふべきである。	book:平家物語/単行本/1933年/山田孝雄/60/寶文館	explanation:〔自ラ五（四）〕「かかる（掛・懸・係・繋）〔四〕(5) 」の強調。	comment:コメント：（液体が）かかるという意味で探していたところ、この用例がひっかかりました。Google Books より。	reply:第２版では、立項されませんでした。ちなみに、「かかる〔四〕（5）」の意味は、「敵対して、相手に向かって行く。攻め進む。おそいかかる。
title:ぶっかかる【掛】	type:［新項目］	date:2013年02月01日	citation:光を放って黒煙を噴き上げているのは、ガソリンでもぶっかかったのか、火が放たれてまもないのか。	book:文學界/雑誌/1994年12月1日/金石範/404/文藝春秋社	explanation:〔自ラ五（四）〕「かかる （掛・懸・係・繋）〔四〕(7)」 の強調。	comment:コメント：Google Books より。「火山島」の連載からのようです。	reply:第２版では、立項されませんでした。ちなみに、「かかる （掛・懸・係・繋）〔四〕(7)」とは、「雨、雪、涙などが落ちてきてあたる。また、水や泥がはねたりしてあたる」意です。
title:ぶちわれる【打割】	type:［新項目］	date:2013年02月01日	citation:そうだ、そうだ、違げいねい俺等の結晶がぶち割れてくるのだ	book:農民, Volume 5/単行本/1931年/犬田卯, 農民文藝會, 農民自治会, 全国農民芸術聯盟, 農民作家同盟/13/不二出版	explanation:〔自ラ下一〕「わ・れる （割・破）(1)」 の強調。	comment:コメント：「ぶち割る」からか。Google Books による検索結果。	reply:第２版では、立項されませんでした。
title:ぶっさす【打刺】	type:［新項目］	date:2013年02月01日	citation:かまはねえ、そいつから先にぶっ刺してしまへ。	book:三角寛全集 6巻/単行本/1971年/三角寛/196/母念寺出版	explanation:〔他サ五（四）〕「さす（刺）〔一〕(1)」 の強調。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:ぶっささる【打刺】	type:［新項目］	date:2013年02月01日	citation:…（OCR判読不能）ぶっ刺さってゐるのが氣味惡かった。	book:定本横光利一全集 第十一巻/単行本/1982年/横光 利一/559/河出書房新社	explanation:〔自ラ五（四）〕「ささる（刺）」の強調。	comment:コメント：Google Books より。OCR の結果が判読不能で、判読可能な部分のみ用例としました。不正確であれば申し訳ありません。	reply:第２版では、立項されませんでした。
title:ぶったぎれる【打切】	type:［新項目］	date:2013年02月01日	citation:急に行うとぶった切れるので一度にはしぼれず、一日漉き方をしたら一日かかってしぼる位の気持ちで水切りをする。	book:石川啄木/雑誌/1978年/岩崎 敏夫/77/万葉堂出版	explanation:〔自ラ下一〕「きれる（切） 〔一〕(1)」 の強調。	comment:コメント：「ぶったぎる」の自動詞。	reply:第２版では、立項されませんでした。
title:ぶったるむ【打弛】	type:［新項目］	date:2013年02月01日	citation:貴様の根性がぶったるんでいるからだろう。	book:敷島隊の五人: 海軍大尉関行男の生涯/単行本/1986年/森史朗/227/光人社	explanation:〔自マ五（四）〕「たるむ（弛）（一）(2)」 の強調。	comment:コメント：「ぶっ」による強調。	reply:第２版では、立項されませんでした。
title:ぶっちぎれる【打千切】	type:［新項目］	date:2013年02月01日	citation:裸電球がぶら下がっている鎖のコ―ドがぶっちぎれてとぶのを見た。	book:女子学徒の戦争と青春/単行本/1995年/奥村 芳太郎/138/角川書店	explanation:〔自ラ下一〕激しくちぎれる。	comment:コメント：ぶっちぎる (1) の自動詞。	reply:第２版では、この語形では立項されませんでした。
title:ぼこる	type:［新項目］	date:2013年02月01日	citation:すかさず裏に連れてってボコっておいたんだけどよ	book:掘り出しパーツ/単行本/2002年/分担不明/（現代日本語書き言葉均衡コーパス）/アポロ出版;ディー・アンド・エー(発売)	explanation:〔自ラ五〕ぼこぼこに殴る。	comment:コメント：殴るようすを示す「ぼこぼこ」からだと思われます。	reply:第２版では、立項されませんでした。
